_id,project_title,start_actual_isodate,donors_iso2,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
1,Energy Access and Efficiency Improvement Project (EAEIP),2010-06-04T00:00:00,Asian Development Bank,Energy generation and supply,Implementation,2010,2013,69125944,16058113
2,Introduction of Clean Energy by Solar Electricity Generation System,,Japan International Cooperation Agency,Water supply and sanitation,Implementation,2010,2012,7492575,8196360
3,Urban and Environmental Improvement Project,2003-10-02T00:00:00,Asian Development Bank,Other,Completion,2003,2011,36126375,25945175
4,Community based Water Supply and Sanitation Sector Project,2004-01-01T00:00:00,Asian Development Bank,Water supply and sanitation,Completion,2003,2011,28901100,24189510
5,Biogas Support Program - Phase IV,2003-07-01T00:00:00,Kreditanstalt fÃ¼r Wiederaufbau|SNV Netherlands Development Organisation|International Development Association|World Bank Trust Funds,Energy generation and supply,Completion,2003,2012,28095505,21791880
6,Secondary Towns Integrated Urban Environmental Improvement Project,,Organization of the Petroleum Exporting Countries|Asian Development Bank,Other,Implementation,2010,2013,71492230,3821246
7,Road Sector Development Project,2008-04-01T00:00:00,International Development Association,Transport and storage,Implementation,2007,2013,121453931,152951898
8,Syaprubesi Rasuwagadhi Road Project,2007-12-17T00:00:00,China,Transport and storage,Completion,2007,2013,33975869,10074474
9,Community-Managed Irrigated Agriculture (Sector) Project CMIASP,2006-07-01T00:00:00,OPEC Fund for Inernational Development|Asian Development Bank,Agriculture|Agriculture,Implementation,2005,2013,30606824,15489246
10,Bagmati Irrigation Project,,Saudi Development Fund,Agriculture,Implementation,2007,2013,16455302,1930295
11,Rural Access Improvement and Decentralization Project(RAIDP),2010-07-14T00:00:00,International Development Association,Other,Implementation,2005,2012,78947003,38292463
12,Emergency Peace Support Project,2008-09-19T00:00:00,International Development Association,"Conflict prevention and resolution, peace and security",Implementation,2008,2013,51071395,25773298
13,Skills for Employment Project,2006-02-28T00:00:00,Asian Development Bank,"Education, level unspecified",Completion,2005,2012,22671722,16560739
14,Country Programme Nepal (2002-2012),2002-01-01T00:00:00,World Food Programme,"Education, level unspecified",Completion,2002,2012,36933522,19954645
15,The Establishment of the Korea-Nepal Institute of Technology in Butwal,2008-09-05T00:00:00,Korea International Cooperation Agency,"Education, level unspecified",Completion,2008,2012,5914424,5365685
16,Establishment of the ICT Center to Enhance ICT Capabilities in Nepal,2010-09-23T00:00:00,Korea International Cooperation Agency,"Education, level unspecified",Implementation,2010,2013,5106587,4707776
17,Rural Finance Sector Development-Cluster Program  (Sub Program I),2006-11-21T00:00:00,Asian Development Bank,Banking and financial services,Completion,2006,2012,71047282,65411490
18,Second Small town Water Supply and Sanitation Sector Project,2010-01-24T00:00:00,Asian Development Bank,Water supply and sanitation,Implementation,2009,2013,46676909,9925912
19,Project for Agriculture Commercialization and Trade (PACT),2013-02-13T00:00:00,International Development Association,Agriculture,Implementation,2009,2013,62015847,6300000
20,Crop Protection and Pesticide Development - National Integrated Pest Management Program (IPM) Phase II,2008-10-27T00:00:00,South Asian Association For Regional Cooperation|Norway,Agriculture,Implementation,2008,2008,-,-
21,Avian Influenza Control Project (Animal Health Component),,International Development Association,Agriculture,Completion,2007,2012,9085631,8947855
22,Community Livestock Development Program (CLDP),2005-12-02T00:00:00,Asian Development Bank,Agriculture,Completion,2004,2011,23424704,20713876
23,Irrigation and Water Resources Management Project (IWRMP),2008-04-24T00:00:00,International Development Association,Agriculture|Agriculture|Energy generation and supply,Implementation,2008,2013,66338513,52469446
24,Kathmandu Valley Water Services Sector Development Project,2004-07-08T00:00:00,Asian Development Bank,Water supply and sanitation,Completion,2004,2013,11989801,2624389
25,Western Upland Poverty Alleviation Project (WUPAP)III Phase,2003-01-01T00:00:00,International Fund for Agricultural Development,General budget support,Implementation,2002,2013,24839123,14651387
26,High Value Agriculture Project in Hill and Mountain Areas (HVAP),,International Fund for Agricultural Development,Agriculture,Implementation,2010,2013,14477047,2339841
27,Decentralized Rural Infrastructure and Livelihood Project (DRILP),2005-10-31T00:00:00,Swiss Agency for Development and Cooperation|Asian Development Bank,Other,Completion,2004,2013,52180300,43084636
28,Town Development Fund Project (phase III),2009-05-26T00:00:00,Kreditanstalt fÃ¼r Wiederaufbau,Other,Implementation,2009,2013,10583904,1335258
29,Leasehold Forestry and livestock Programme,2005-09-07T00:00:00,International Fund for Agricultural Development,Forestry,Implementation,2005,2013,16223693,12510832
30,Biodiversity Sector Programme for Siwaliks and Terai (BISEP-ST),,SNV Netherlands Development Organisation,Forestry,Completion,2001,2010,14628064,16967629
31,Flour Fortification in Chakki Mills,2010-03-11T00:00:00,Asian Development Bank,Health,Completion,2010,2013,1838371,125393
32,Second Rural Water Supply and Sanitation Project,2008-08-26T00:00:00,International Development Association|Asian Development Bank,Water supply and sanitation,Completion,2004,2012,57377066,90306309
33,Gender Equality and Empowerment of Women Project,2007-01-01T00:00:00,Asian Development Bank,Other social infrastructure and services,Implementation,2006,2013,10981032,7277875
34,Commercial Agriculture Development Project (CADP),2007-08-06T00:00:00,Asian Development Bank,Agriculture,Implementation,2007,2013,19208523,14976866
35,Information and Communication Technology Development Project (ICTDP),2010-05-10T00:00:00,Asian Development Bank,Communications,Implementation,2008,2013,26099645,2858549
36,Detailed Engineering Study for the Upper Seti Hydropower Project,2010-10-01T00:00:00,Ministry of Energy|Asian Development Bank,Energy generation and supply,Implementation,2010,2013,3012886,1859154
37,Upper Trishuli 3A Hydroelectric Project,2011-02-28T00:00:00,China,Energy generation and supply,Implementation,2011,2013,129241702,50985829
38,Crisis Prevention and Recovery Support to Nepal,2008-05-30T00:00:00,United Nations Development Programme,"Conflict prevention and resolution, peace and security",Implementation,2008,2013,3056823,3671328
39,Enhancing Access to Justice for the Consolidation of Peace in Nepal,2008-08-20T00:00:00,United Nations Development Programme,Other social infrastructure and services,Completion,2008,2012,3383995,3073205
